search_term,text,resulting_sentiment
term 3,@NiroWho ,Neutral
term 3, 3.2 PTR possibly this week. That makes me a sad panda. I spent 4k gold total to level my enchanting and I won't be able to farm titanium.,Negative
term 3,aye woke up extremely hungry what should i have for breakfast good morning tweeties,Positive
term 3,The Real World: Brooklyn ,Neutral
term 3,getting ready for work :-/ 7 - 11 is looking like hell for me .. hwever i shall focus on the money . as i am extremely skint ..   eurgh,Negative
term 3,this is so cute i was in kindergarden,Positive
term 3,#SteveJobs will be a crucial witness against #Apple in an #iPod antitrust suit via @BGR #aapl  http://t.co/BBH9g0TUyM,Neutral
term 3,My phone battery is empty ,Negative
term 3,@chrkuhl28 lol.  i'm so bored.  i have no more school work and i don't have any shows to catch up with on the internet.  ,Negative
term 3,i m currently walking to work no british gp for me,Negative
term 3,lol it s a funny typo though,Positive
term 3,test post from iphone.  http://yfrog.com/58tz5j,Neutral
term 3,@BeaMarqz DUDE.  #whatsmysection #whatsmysection #whatsmysection #whatsmysection #whatsmysection #whatsmysection #whatsmysection,Neutral
term 3,you just made one for h_e by doing that,Neutral
term 3,Ferry from cowes 2 so'ton! Hols ova... ,Neutral
term 3,why that face it s so scawy,Neutral
term 3,my arm really hurts ,Negative
term 3,"@wallynywall that's awesome  and, I'm sorry but she really doesn't. I'm sorry for asking but you have no picture you're a boy right?",Negative
term 3,thanks let s see how it goes,Positive
term 3,is sad i have a spider bite i m such a baby lol,Negative
term 3,Sakit perut . Lg rhat d tjng sari. Uh cape.a ,Neutral
term 3,@ChaseNCashe Ahhhh...the best side....I miss home ,Positive
term 3,absolutely i follow everybody who follows me i have an open door policy don t be shy tweeps,Negative
term 3,I am not looking forward to tomorrow we got school  boo-then on wedneday we got maths test! nooo tweet tweet,Neutral
term 3,i always stayed at home when my were little now there at school i work there amp am always off when they are it s great,Positive
term 3,The lead singer of iron maiden is playing here tonight so there's lots of weirdos. qld is winning though ,Positive
term 3,in lakewood,Neutral
term 3,enjoy the club,Positive
term 3,"HH debuted at #193 in the UK, and the video is being played a lot on 4music, so keep it locked on that channel to see it! ",Positive
term 3,and i had garbanzo beans another reason why i hate being at work thanks ellen,Negative
term 3,thnks sometimes solutions too simple to see right away huh ps did i miss you at pdxcc,Neutral
term 3,"That was an amazing race! So happy for Vettel and Webber, but also heartbroken for Sutil and Nick. Poor Nick  #f1",Negative
term 3,"@darkmagess Probably.  It's from an armed forces upbringing, I speak military English.",Neutral
term 3,that s really common im sure boral hamilton is rarer,Positive
term 3,okay my tooth just got worse arrgghh,Negative
term 3,won the bball camp championship week went by too fast,Positive
term 3,taking a shower x no picture for ya gt see ya in a bit,Neutral
term 3, disneyland fireworks!,Neutral
term 3,It's monday and I have a sore throat ,Negative
term 3,lovely i just got sick i just wanna go home and go to bed,Positive
term 3,Is banging his head against the wall with his dreamweaver template - can't get it to hide my optional editable region ,Negative
term 3,you rock having an attitude of gratitude thank you for being a part of twitter,Positive
term 3,"@John1954Moi - peanut cookies are one of my favs  reminds me of my old church, they were the fi... - [Re:] http://mobypicture.com/?04xdxc",Neutral
term 3,i mean,Neutral
term 3,"@bryantunderwood mike's playing drums, right?  ",Positive
term 3,"boring... only music there,,, nothing else  http://bit.ly/I7Y7W",Neutral
term 3,WTF stupid emergency warning on tv interrupted jimmy fallon ,Negative
term 3,bummer cam not working on cam com,Negative
term 3,wondering what happened to the weekend,Neutral
term 3,Me: I didn't even watch the 1st transformer. Jenn: WHAT!? I HATE YOU. Becks: what.. CAN YOU GO RENT IT!!! I'm missing out ,Negative
term 3,Remembering my loved ones and friends with cancer at luminaria ceremony!  I love and miss those who I lost ,Positive
term 3,"@squarespaceSTFU But, it's hip to be square. ",Neutral
term 3,@fudgecrumpet has decided to spend his week off in bed and not with me ,Neutral
term 3,too much on my mind. i can't sleep. coming home to reality is really killing me ,Negative
term 3,About to fall asleep. Upset that i couldn't take carl out in the jogging stroller because of all this rain ,Negative
term 3,central park is in nyc,Neutral
term 3,@shelllbie aw! I love you too babe ,Positive
term 3,rblpnBro @dhair Not quite where I need to be here ... sad but true. Soon however all will be WELL  6wks ? http://blip.fm/~5z4ve,Positive
term 3,superwoman with oven mitts you rock,Neutral
term 3,the belly dancers hookah music the sitting on pillows in a cute lil booth but dnt worry we won t invite u nxt weekend,Positive
term 3,coffee everytime dude,Neutral
term 3,http://bit.ly/v5XGy  @itamarw it's a beauty! wonder if there are real interface improvements too? might have to forego android device  ...,Positive
term 3,@AlexisTai please don't roll your eyes. I can't handle that.  *cries*,Positive
term 3,ummm yawning i forgot it which my bike is still in station s parking i ll be school later                 ,Neutral
term 3,i m a born again tweeter,Neutral
term 3,@hotpatooties try old ladies claw like Phoebe from friends...much easier I reckon ,Positive
term 3,@DonnieWahlberg so i had to pawn my camera for gas money so i had to send in my release without a pic.am i disqualified?(please say no) ,Neutral
term 3,yes mam we do,Positive
term 3,@ashleytisdale You should come play in New Zealand.. ,Positive
term 3,listening to my 5yr old tell me all about his boat trip today around the venice lagoon ,Neutral
term 3,@WhoooshB Thanks Aron! ,Positive
term 3,"Oh godd, i dont think i felt so sick in my lifee  Never drinkking again.",Negative
term 3,well i m slow as shyt with my asthma and leftover swine flu so guess i ll give you a call from my cell,Negative
term 3,is going to go buy chocolate because she's so damn depressed about the fridge. I don't want to cancel housewarming party ,Negative
term 3,off to work. ,Neutral
term 3,i have to go awws i want to freak out more,Negative
term 3,Our home is so clean now. It's awesome. I bet it's messy again my Monday though.  ,Positive
term 3,last driving lesson before my test next week don t know why i m nervous it s not like i ve not done it before lol,Negative
term 3,wants to do something radical...but not sure what that something is. ,Negative
term 3,@jackbeats mann!! R U Playing Tomorrow?? i'm in london. holla @ me if you're here ,Positive
term 3,"@guardiantech please campaign for more #captions on TV and Films locally, nationally and globally ",Positive
term 3,eating dinner outside again i could get used to this,Neutral
term 3,is mean,Neutral
term 3,no signal. so an update of my day in 88 characters. leave early. cheap breakfast. solder not flowing well. suck. fail. happy. food. fail. ,Negative
term 3,@AdirondackMetal Sounds good to me! ,Positive
term 3,sorry about the bad link ,Negative
term 3,is twenteenth birthday ,Neutral
term 3,when will you be saying quot hello there new zealand quot haha,Positive
term 3,@Jeevs93 get well. That's unfortunate ,Negative
term 3,sore throat.. ,Negative
term 3,yeah i just wanted to say hello before i crash,Negative
term 3,@sexybexy24 You're always hot.  Even when it's freezing you're still hot ,Negative
term 3,it better not rain in the summer,Positive
term 3,@katdish  Hush it. ,Neutral
term 3,"Just when we were expecting a warm sunny day to watch the closing T-Ball game for our grandson, Zechariah ",Positive
term 3,#twitterfox aint working ,Neutral
term 3,lol i hope that s a compliment patchouli,Positive
term 3,DONE!! With @skipperhart ! She put ice down my one piece! I can feel it melting ,Neutral
term 3,thats awful those poor animals,Negative
term 3,still haven t seen coraline yet yeah mulan was always my fave growing up but even then you get quot make a man out of you quot,Positive
term 4,@iiLoVeJeSUs jajaja you remember me the new Batman Movie (Batman: The Dark Knight) when Wason say &quot;Are u serious?&quot; haha.. NOT ,Neutral
term 4,DAMN! I'm gettin so much love today...THANK YOU ALL! I appreciate every single one of you! ,Positive
term 4,pretty please,Positive
term 4,Reading all the tweets about the MTV Movie Awards! ,Positive
term 4,My cat was just WAILING at the door. opened it up &amp; he brought me a mouse &amp; was all purrr purrr look what i brought! Ugh. Still alive too ,Negative
term 4,champaign must have been too much for,Positive
term 4,painfully slow night made more painful by a serious lack of sleep,Negative
term 4,settling down for the night with us weekly after a long and tiring day,Neutral
term 4,ooo cool,Positive
term 4,only dick wise,Negative
term 4,deciding if i should turn my employer into peta or not,Neutral
term 4,"@usouthernmaine 61 carried the day, our 63 got us nothing ",Neutral
term 4,"@dgabby16 nuffinnk much, just promoting on in4merz haha  how r u ??",Positive
term 4,A full Universal Hall for Dougie Maclean last night. Lovely warm atmosphere and great singing by the audience. Dougie wasn't bad either ,Positive
term 4,had a dream all the snon got washed away by the rain,Positive
term 4,dear when i am sitting on your car seat amp a homeless guy yells at me randomly do i cry to myself or do i cry in a tweet to you,Negative
term 4,just wants everything to be okay,Positive
term 4,had popeye s chicken for lunch and i swear there was more greese than chicken in there,Negative
term 4,I'm feeling lost without my headphones could buy some new ones whilst I'm out shopping but not like I need any ,Negative
term 4,NEVER MIND NO MOVIES ,Positive
term 4,going to my gramma shes sick at the hospital pray for her please,Positive
term 4,pahaha were sitting in the cinema waiting to watch again,Neutral
term 4,lost my phone some where maybe in the grass its just so long hope it doesn t rain,Positive
term 4,@punktorah Anything you need... anything at all ,Neutral
term 4,thank you xx,Positive
term 4,listening to battlefield by it s an amazing song can t wait to see the music video,Positive
term 4,awww thats sweet have a fab time,Positive
term 4,i am here having a quot quot with my lovely wife,Positive
term 4,"School starts on Monday.  ) WUUUH! Sucks. Well,Need to deal with it. :| :| :| Justine is going back tomorrow! YEEEEEEEEEEY!",Negative
term 4,don t even go there at least im not bald we r done nope not the answer,Neutral
term 4,@Grimmie HUGS!!!   hehe.. go sleep for a long time okay?,Positive
term 4,my girlie so wonderful am driving her to her car after hours of sleep she lucky i love her sweet ass danced allllll night,Positive
term 4,@lisathelmamay hey I got mine at Ezy DVD but usually JB HIFI have it too ,Neutral
term 4,spreading the word one person at a time,Neutral
term 4,"@cassSandy I desperately need to go to the movies.  It's depressing, really.",Negative
term 4,feeling better but has to work again tomorrow,Positive
term 4,good song good song,Positive
term 4,"@DebOwen I have to say, I am absolutely *in love* with your avatar. You look so gorgeous, you're practically edible ",Positive
term 4,your not going to sams,Neutral
term 4,showerr then sleeeeeeep. ,Neutral
term 4,"I was going to correct the spelling mistake (kittie -&gt; kitty) in my previous post by deleting &amp; retweeting, but I'm not having brunch now ",Negative
term 4,is really hungover but was a good night ,Positive
term 4,just saw the neda footage along with other devastating clips nothing sadder than seeing people die for freedom iranelection,Negative
term 4,yeah it is a great one too bad there s no linux version,Positive
term 4,My finger still hurts ,Negative
term 4,if exercise is so good for you why the hell do you feel like such a bag of crap afterwards,Negative
term 4,"@luannschindler yep, that would be true. I also love the Elkorn river valley.  Heading that way soon. ",Positive
term 4,seriously go out on the town for me can totally feel chicago as i twt u today love that city been ages g nit j,Positive
term 4,i cannot find that wiring adaptor you hve anywhere,Neutral
term 4,my phone didn t charge last nite not going to last much longer boooo bars left,Neutral
term 4,@crookedfang How romantic. ,Positive
term 4,@magicalfrenzy thank you ,Positive
term 4,@anieszkaa omg omg i watched episode 24 last night i was like wowwww  cant wait for 25 now ,Positive
term 4,memorized the sat vocab for avid in less than minutes whoo i keep forgetting notoriety and conundrum though,Positive
term 4,common on ppl we can get in to number one everywhere go out and buy lvatt lines vines and trying times,Positive
term 4,says welcome to our plurkie world,Positive
term 4,i did watch it liked it too i like ice road truckers,Positive
term 4,sick of the taste of water brrr cold on kirsties new macbook in bed,Negative
term 4,Working out  wooooo pilates hehe.,Neutral
term 4,i ll go to the movies with you,Neutral
term 4,"@declinedesigns I know, it's SO quiet. =( I tried to fix it, but no worky.  You just have to turn it up, haha. ",Positive
term 4,i miss movie nights in my dorm room every friday i miss you guys switching schools isn t going to be as easy as i thought,Positive
term 4,i have i love kardashian marathons your family is awesome,Positive
term 4,@greggarbo Very insightful ,Neutral
term 4,you doing any better,Positive
term 4,hoping i get to see jon today relaxing for now,Positive
term 4,good morning to you and hag sameach,Positive
term 4,"tired as heck, i wanna go home and sleep but i cant cause im have to be at the wash till my daddy gets off work. ",Negative
term 4,"@tomzer1 ah, thanks--and it only took 8 hours to show up!  AudioBoo is usually reliable. Ah well...",Neutral
term 4,"@MsSdot23 Shemzuuuuu, hordai did not enlighten me on sach jokessss.. please do tell! ",Negative
term 4,so tired from our activity this day but it was sooo much fun i should get some rest and go to school again tomorrow,Positive
term 4,there s a beautiful cloud patteren outside my window why won t my stupid camera take the picture it ll be lost forever,Positive
term 4,researching for this fantastic assignment ,Positive
term 4,in bed wit my lil pup ,Neutral
term 4,goodmorning tweepss ,Neutral
term 4,interning family dinner then saying goodbye to a bestfriend tonight because shes moving to nyc tomorrow,Neutral
term 4,Painting the fence won over writing today ,Positive
term 4,awwww,Neutral
term 4,I can't sleep! So far I'm down to 4.5 hours of sleep but it doesn't look good on getting any ,Negative
term 4,sittinqq in classz eattinqqq tropical starbursts,Neutral
term 4,do mr. federmans homework heh so i can copy ,Negative
term 4,coconut but try argon too,Neutral
term 4,it s like the old myspace days you gotta go to a specific person s page and comment to them that way,Positive
term 4,"Dirty laundry partaaay II after key problems, 3 detours, and a forgotten swipey card ",Negative
term 4,cant sleep agh,Neutral
term 4,@girlwithnoname is our follower #999 ,Neutral
term 4,Ballsy move ... snip snip on the way  http://bit.ly/xKMlL,Neutral
term 4,cindy he is always afraid of me that is always,Neutral
term 4,i d love to live in a ritzy closed off community,Positive
term 4,worldpay is down and it s giving me a headache,Positive
term 4,@scsasha that's just wrong. Sounds like we could both use a stiff drink. ,Negative
term 4,officially camping now woo no more phone be back sunday,Positive
term 4,weee done the race for lifee in mins wooohooo x,Neutral
term 4,@zeynep_ Lucky   See you in Germany at univercity &lt;3  ,Positive
term 4,i really need to get out of here,Neutral
term 4,have a lovely monday xx,Positive
term 4,@geekoo no it doesnt have an nvidia graphics card! it runs a 360 mhz arm processor... not a geforce ,Negative
term 4,On the midnight shift at work ,Neutral
term 4,my ipod wont download the update for pocket god aka best app ever,Positive
term 4,help i cant sleep not even listening to all the quot silent quot songs from mcfly amp busted help i tried to sleep for hours,Positive
term 5,@djknucklehead http://twitpic.com/69wk3 - ipod or mp3??  x,Neutral
term 5,i fell on the sidewalk and scrapped my arm and the only band aids i have are barbie band aids,Neutral
term 5,A great song to start the morning and the summer too!  ? http://blip.fm/~7b9gv,Positive
term 5,affiliate marketing online advertising and all components you should learn about it it can be life changing,Neutral
term 5,just watched big brother deciding what to do now xx,Neutral
term 5,Exhausted but loving this job! Looking towards vaca in July...who wants to road trip ATL with me? ,Positive
term 5,that s what s up what color should i do mines i can t decide,Neutral
term 5,"@splashingaround Wait, what?!?! Now the band is all Alex's besides one  Since when was this that he left ?",Neutral
term 5,@jenscloset Good for you!  I think I'll live the rest of my life driving a mini van ,Positive
term 5,The book was full of action 'til the end... I love the twist near the end! Did not see that one coming.... ,Positive
term 5,Afternoon tweeps! beautiful day in CNY. Hello to all my new friends! ,Positive
term 5,having a relaxing lunch break children are evil,Negative
term 5,another wedding shot what a great weekend,Positive
term 5,installed in the office coffee sandwich peace and quiet,Positive
term 5,lol hi pumpkin thx for your support,Positive
term 5,"An evening of pitting cherries and playing Rock Band, hard to argue with that. Sad that Xbox Live is down though. I cant buy more songs! ",Negative
term 5,sun is shining,Neutral
term 5,i was home all alone cuz my brother had ball hockey   but I had fun with my dog and cats &lt;33,Positive
term 5,"This Friday Im Going to buy the new cd of Jonas Brothers! &quot;Lines, Vines , And Trying Times!  I'm Really Exited!",Neutral
term 5,@iCharlotte u dont think i can? i'll prove you wrong. im not really a flirt in real life. i just expierment on twitter. ,Negative
term 5,i m about to get a kk tee for my bf for his bday he loves mine,Positive
term 5,"@gavmcm Married, 2 kids, 1 dog.    You?  Never been to OZ - hope to visit one day soon....",Positive
term 5,yow does this mean you ve made the big time hmm,Neutral
term 5,@PunkyTHESinger 8 more... ,Neutral
term 5,@Knapkni glad to be twitter friends  will be fun to collaborate at #BWR #EuphonicSound #OpenWindow with you!,Positive
term 5,alies im sorry hun its going to be fine mrs ramos is gunna give you shit,Negative
term 5,made it to atlanta my little big brother on his flight to orlando i kinda just wanna go home,Neutral
term 5,"FLIR Systems to Release Fourth Quarter and Full Year 2019 Financial Results on Thursday, February 27, 2020",Neutral
term 5,"@shiningthunder That sucks.  I've been there. I'm there now. *glares at Wiffle's IM box* But, if you want, I'll do storylines with you whe",Negative
term 5,OMG twitter  can y'all see my photo??? cause i can't ,Neutral
term 5,-gets bag ready for college- ... I haven't done anything today and I'm knackered ,Positive
term 5,"@bobbythomas1 yeah, thanks for blipping cheezy mailman ",Positive
term 5,noooo monsoonal again in sheffield no pics for me this time difficult to take photos whilst using crutches sheffieldfloods,Negative
term 5,i say yes parking sucks and food is over rated order pizza,Positive
term 5,I hope everyone is having lots and lots of fun...I'll be back tomorrow some and then mom goes away for awhile. It will make me sad... ,Positive
term 5,this movie is a constant punch in the gut,Neutral
term 5,The sun's out in West Cork ,Neutral
term 5,almost thrown up ,Neutral
term 5,A 10 minute break?  After 20 minutes?  Do these people do anything?  Please tell me it's only an hour!  !  !,Positive
term 5,cubase is working oh my god,Positive
term 5,"@sioksiok @davidfeng Haha, good point. ",Positive
term 5,@loovely831 morning ,Neutral
term 5,i really need to learn to save more often in photoshop,Positive
term 5,too much party and too many beers yesterday night  but mixtape went well so far ,Positive
term 5,going to hang out with my students on a saturday night wow that s a first and probably a last,Positive
term 5,i d love to but i can t even read properly b coz i don t have khmer unicode on my machine,Positive
term 5,is sick of being the person you can't take anywhere and knows its no ones fault but his own.  night kids.,Negative
term 5,hiii  there was a thunderstorm wednesday night and it was sooo cool! it rained so much too. nightlights in the sky  and Up is amazing &lt;3,Positive
term 5,"Danny, you're MY American Idol!!!! ",Neutral
term 5,yay writting an amzing song with so excitedd,Positive
term 5,"@ddlovato good luck demi tomorrow! i wish i were there to see you, but im from argentina   looove you! solu.",Positive
term 5,Warriors u can do it ,Neutral
term 5,"Leave with this --&gt;  It is only failure if you stay down after the fall.  Get back up, dust yourself off and start anew.",Negative
term 5,i m trying to call,Neutral
term 5,My iPhone camera is broken. ,Negative
term 5,"@ncfcog When i was there I walked so much I wore my shoes out!  I was on business, but made time for some pleasure too ",Positive
term 5,works so cold,Neutral
term 5,werd but i dnt turn til july th can i still try,Neutral
term 5,yes i do often haah lt good night x,Positive
term 5,http://www.etsy.com/view_listing.php?listing_id=25768307 want it but cant sew ,Neutral
term 5,"now on pg 237, night ",Neutral
term 5,definitely not price lol hmm one decider of mine is that i paid more for the leica so i have no excuse for bad photos,Negative
term 5,Why is everything I want out of reach? Do I want it because it's out of reach or is it out of reach because I want it? ,Positive
term 5,"@brittanytastic ooh, sounds fun  never been in ohio, well i've never been to the states :S i always wanted to go to kentucky xDD",Positive
term 5,@BearTwinsMom thanks sweetie! ,Positive
term 5,                                                                      servicing             ,Neutral
term 5,@wingsofsapphire Coo beans - we'll either grab a bus back into town or one of my sister's friends will give us a lift as I am sans car ,Positive
term 5,@LcMcLaughlin nooo clue! mine's always been public ,Neutral
term 5,yeah nothing to do with being dumb thanks she is fine i m off to do housework,Positive
term 5,#asot400 we want to see some pics of the location ,Positive
term 5,someone called and wanted to reserve a table for persons,Neutral
term 5,why am i even trying? ,Neutral
term 5,loveeeee youuuu,Neutral
term 5,@LittleFletcher i miss shopping. i hope i can go soon ,Positive
term 5,"@POParitaville Yes, sir. Missed CC last year...No way I'm missing 2 in a row! ",Negative
term 5,BTW...this has been one of the slowest days ever. Winning an iPhone would definitely help it go by quicker!  #squarespace,Positive
term 5,friday and it s a rainy day and it is national donut day go get a free donut at krispy kreme,Positive
term 5,@OtaliaRocks then you shall have it ,Neutral
term 5,its a friends phone a wee sony ericsson and its so cute but im gona b too cut off from the world,Positive
term 5,i m sure it s a ton of fun down there,Positive
term 5,aww you should have knocked sorry,Negative
term 5,@Narfmaster im pissed off with itunes.. cuse its so bogged down!! now how can i update my apps.. ,Negative
term 5,cleaned the car today in the sun,Neutral
term 5,ohh xd i havent been on twitter for ages soo i just saw that,Positive
term 5,There's a whole bunch of weird people following me... so I'll just do some more reading and pretend they aren't there ,Negative
term 5,spain thats a guess,Neutral
term 5,@proudnewmom26 Just take of ya clothes and just Lay back. All u gotta do is jus Lay Back. LOL.. Kind of like the other night. ,Positive
term 5,Watching the lightening from the new balcony. So beautiful. A bit lonely though ,Positive
term 5,@Aerten haha me too! But I can't afford it ,Positive
term 5,god damn it forgot to bring my black nail polish to work ohhh man i might have to work now boooo,Negative
term 5,can t sleep always happens when you have to get up early,Neutral
term 5,@chattyman  ahaha loveddddd last nights show  can't wait for next weeks ,Neutral
term 5,calling the vet when they open.  Cinder still not eating.  Barely  moving about the house. Noticed dark red rash on her belly.    ,Negative
term 5,Watching Keeping Up With The Kardashians ,Neutral
term 5,i am being taken on an amazing day life is good,Positive
term 5,lmao,Positive
term 5,The fattestassest spider was crawling on my elbowwiheowahrikaewhfsb!IBHKJj ,Neutral
term 5,it's looking like more rain ,Positive
term 5,you re awesome message back,Positive
term 5,i hate the sun and what it does to fair skinned people,Negative
